Company Name,Number of Employees,Founder
Amazon,"800,000",Jeff Bezos
Apple,"137,000",Steve Jobs
Google,"118,899",Larry Page
Microsoft,"151,000",Bill Gates
Alibaba,"104,000",Jack Ma
Facebook,"52,534",Mark Zuckerberg
Berkshire Hathaway,"367,700",Warren Buffet
JP Morgan Chase,"256,981",John Pierpont Morgan
Exxon Mobil,"71,000",John D. Rockefeller
Johnson & Johnson,"128,100",Robert Wood Johnson
Nestle,"291,000",Henri Nestle
Procter & Gamble,"95,000","William Procter, James Gamble"
Toyota,"366,000",Kiichiro Toyoda
General Electric,"300,000",Thomas Edison
Chevron,"62,000",Marcus Samuel
Coca-Cola,"62,600",John Pemberton
McDonald's,"210,000",Dick and Mac McDonald
Wal-Mart,"2,300,000",Sam Walton
IBM,"352,600",Thomas J. Watson
PepsiCo,"267,000",Caleb Bradham
Unilever,"169,000",William Lever
Anheuser-Busch InBev,"200,000",Adolphe Jackie
Chevron,"62,000",Marcus Samuel
Royal Dutch Shell,"84,000",Marcus Samuel
BP,"73,000",William Knox D'Arcy
Walgreens Boots Alliance,"385,000",Charles R. Walgreen Sr.
CVS Health,"300,000","Stanley Goldstein, Ralph Hoagland"
Intel,"107,000","Robert Noyce, Gordon Moore"
Johnson & Johnson,"128,100",Robert Wood Johnson
Goldman Sachs,"36,600","Marcus Goldman, Samuel Sachs"
Visa,"19,600",Dee Hock
Merck,"71,000",Merck family
Goldman Sachs,"36,600","Marcus Goldman, Samuel Sachs"
Verizon,"153,400",Bell Telephone Company
Anheuser-Busch InBev,"200,000",Adolphe Jackie
BMW,"134,682",Karl Rapp
Porsche,"30,053",Ferdinand Porsche
Ferrari,"7,000",Enzo Ferrari
Lamborghini,"1,500",Ferruccio Lamborghini
Audi,"90,566",August Horch
Inditex,"162,450",Amancio Ortega
Total,"99,869",Margerie family
Sanofi,"105,000",Sanofi family
L'Oreal,"87,000",Eugene Schueller
AXA,"167,000",Henri Germain
Voestalpine,"49,000",Federal Government of Austria
Österreichische Post,"43,000",Federal Government of Austria
OMV,"23,000",Federal Government of Austria
Raiffeisen Bank International,"46,000",Friedrich Wilhelm Raiffeisen
