Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry
Amazon,United States,1994,232.9,280.5,386.1,21.3,21.3,21.3,Retail
Apple,United States,1976,265.6,260.2,274.5,59.5,55.2,111.4,Technology
Google,United States,1998,136.8,161.9,182.3,30.7,34.3,46.2,Technology
Microsoft,United States,1975,110.4,130.9,143,16.6,44.3,53,Technology
Alibaba,China,1999,39.9,56.1,70.2,12.9,14.9,11.9,Retail
Facebook,United States,2004,55.8,70.7,84.2,22.1,18.5,25.9,Technology
Berkshire Hathaway,United States,1839,242.1,254.2,245.5,24.1,29.1,29.9,Investment
JP Morgan Chase,United States,2000,110.2,106.6,111.5,32,36.4,31.2,Banking
Exxon Mobil,United States,1870,290.2,265.6,221.9,20.8,14.3,3.1,Oil
Johnson & Johnson,United States,1886,81.6,82.1,82,16.3,15.5,16.4,Healthcare
Nestle,Switzerland,1866,89.5,92.2,92.7,11,11.3,11.3,Food
Procter & Gamble,United States,1890,65.7,67.8,70.7,8.8,9,9.1,Consumer goods
Toyota,Japan,1937,275.6,265.2,274.3,17.7,16.5,19.5,Automotive
General Electric,United States,1892,121.6,121.2,115.2,4.2,4.4,4.7,Conglomerate
Chevron,United States,1879,134.6,134.3,121.5,14.8,11.9,5.6,Oil
Coca-Cola,United States,1886,31.9,32.2,37.2,7.2,7.6,10.2,Beverages
McDonald's,United States,1940,21,21.8,22.2,5.9,6.1,6.3,Fast food
Wal-Mart,United States,1962,500.3,514.4,524.4,9.9,10.4,13.6,Retail
IBM,United States,1911,79.1,77.1,73.6,8.2,8.7,11.6,Technology
PepsiCo,United States,1898,64.7,67.1,67.3,6.5,7.2,7.6,Beverages
Unilever,Netherlands,1930,51.3,51.2,50.7,5.1,5.4,5.7,Consumer goods
Anheuser-Busch InBev,Belgium,1366,54.6,54.6,52.3,9.7,10.2,9.1,Beverages
Chevron,United States,1879,134.6,134.3,121.5,14.8,11.9,5.6,Oil
Royal Dutch Shell,Netherlands,1907,388.4,388.6,353.7,23.9,21.3,11.3,Oil
BP,United Kingdom,1909,303.7,303.4,257.7,6.2,3.8,3.3,Oil
Walgreens Boots Alliance,United States,1901,131.5,131.8,134.6,6.2,6.7,7.7,Healthcare
CVS Health,United States,1963,178.5,184.6,256.2,6.7,7.9,10.5,Healthcare
Intel,United States,1968,70.8,72,77.9,21,21.1,25.8,Technology
Johnson & Johnson,United States,1886,81.6,82.1,82,16.3,15.5,16.4,Healthcare
Goldman Sachs,United States,1869,32.2,32.7,32.8,7.6,9.8,11.3,Investment
Visa,United States,1970,20.6,21.5,22.3,9,9.9,10.9,Financial services
Merck,Germany,1668,42.8,43.3,46.9,10.3,11,12.6,Healthcare
Goldman Sachs,United States,1869,32.2,32.7,32.8,7.6,9.8,11.3,Investment
Verizon,United States,2000,131.9,131.9,131.9,18.5,18.5,18.5,Telecommunications
Anheuser-Busch InBev,Belgium,1366,54.6,54.6,52.3,9.7,10.2,9.1,Beverages
BMW,Germany,1916,98.7,104.2,95.2,8.1,9.4,6.5,Automotive
Porsche,Germany,1931,25.5,27.4,26.5,3.9,5.3,3.9,Automotive
Ferrari,Italy,1947,3.5,3.6,3.7,0.309,0.318,0.299,Automotive
Lamborghini,Italy,1963,1.5,1.6,1.5,0.38,0.44,0.36,Automotive
Audi,Germany,1909,60.7,60.5,59.1,5.9,5.8,5.5,Automotive
Inditex,Spain,1975,27.4,28.8,30,4.6,5.3,6,Retail
Total,France,1924,178.6,174.3,169.6,9.7,8.8,7.3,Oil
Sanofi,France,2004,35.6,35.8,35.9,7.1,7.5,7.7,Healthcare
L'Oreal,France,1909,30.8,30.8,29.9,3.9,3.9,3.6,Consumer goods
AXA,France,1816,100.1,100.6,97.5,4.7,5.1,4.8,Financial services
Voestalpine,Austria,1948,10.5,10.8,10.9,0.617,0.557,0.522,Steel
Österreichische Post,Austria,1891,7.1,7.2,7.3,0.378,0.41,0.441,Postal service
OMV,Austria,1956,28.6,30.1,27.9,1.4,1.6,1.1,Oil
Raiffeisen Bank International,Austria,1880,5.6,5.9,6.1,0.429,0.487,0.503,Banking
Volkswagen,Germany,1937,260,256.4,221.6,14.3,10.9,8.6,Automotive
Daimler,Germany,1926,174.3,182.2,163.1,9.9,9.9,7.2,Automotive
Siemens,Germany,1847,88.5,87.1,78.9,5.6,4.4,4.4,Technology
Allianz,Germany,1890,143.7,147.1,132.9,10.8,11.2,9.2,Insurance
BASF,Germany,1865,65,64.2,58.6,6.7,6.4,4.9,Chemicals
Deutsche Bank,Germany,1870,40.4,40.4,32.8,1.3,1.3,2.2,Banking
EON,Germany,2000,61.5,61.8,53.5,2.2,2.7,2.4,Utilities
Linde,Germany,1879,28.6,27.8,25.3,2.9,3.3,2.9,Industrial gases
DHL,Germany,1969,59.6,60.4,61.1,2.8,2.9,3.2,Logistics
Deutsche Telekom,Germany,1995,80.9,81.1,80.1,5.6,5.6,5.5,Telecommunications
SAP,Germany,1972,27.9,27.8,27.7,6.5,6.6,6.6,Technology
Henkel,Germany,1876,22.4,22.7,22.1,2.9,2.9,2.6,Consumer goods
Bosch,Germany,1886,78.3,78.3,77.5,6.4,6.4,6.4,Technology
Continental,Germany,1871,44.6,44.8,43.7,3.5,3.6,3.5,Automotive
Deutsche Post,Germany,1995,70.2,70.6,69.5,2.9,2.9,2.9,Postal service
Bayer,Germany,1863,35.5,35.2,33.8,4.9,4.8,4.4,Healthcare
Metro,Germany,1964,37.2,37.4,37,1.4,1.5,1.4,Retail
Beiersdorf,Germany,1882,7.4,7.4,7.4,0.894,0.927,0.902,Consumer goods
Adidas,Germany,1949,21.2,21.3,22.1,1.1,1.2,1.2,Footwear
Nivea,Germany,1911,6.2,6.2,6.1,0.639,0.666,0.64,Personal care
Sony,Japan,1946,76.6,77.9,77.5,5.5,5.8,5.5,Technology
Honda,Japan,1948,136.7,135.6,120.1,6.2,5.6,3.9,Automotive
Nintendo,Japan,1889,9.7,10.4,11,0.823,1.1,1.2,Technology
Canon,Japan,1937,33.3,36,33.2,2.6,3.1,2.5,Technology
Panasonic,Japan,1918,76.4,75.5,68.2,1.3,1.4,0.824,Technology
Fujifilm,Japan,1934,22.3,22.6,21.7,0.88,0.943,0.724,Technology
Mitsubishi,Japan,1870,61.9,62.8,58.6,1.6,1.6,1.1,Automotive
NEC,Japan,1899,40.4,40.4,37.2,0.341,0.293,0.346,Technology
Sharp,Japan,1912,9,9.1,8.5,0.376,0.44,0.387,Technology
Toshiba,Japan,1939,20.4,20.7,19.6,0.314,0.31,0.382,Technology
Tencent,China,1998,39.2,44.9,56.8,11.5,16.6,20.2,Technology
China Mobile,China,1997,123.4,121.7,115.4,17.8,16.3,15.6,Telecommunications
China Petroleum,China,1988,387.2,402.7,360.9,17.6,21.4,17.1,"Oil, gas, petrochemicals"
China State Grid,China,2002,412.7,441.5,410.8,23.5,28.1,26.2,"Electricity, natural gas, water"
China Railway,China,2008,119.6,129.5,117.3,8.5,9.7,8.8,"Rail transportation, engineering"
Gazprom,Russia,1989,104.6,115.9,117.6,14.8,17.6,17.9,Oil and gas
Rosneft,Russia,1993,71.3,73.3,75.9,4.4,6.4,8.4,Oil and gas
Sberbank,Russia,1841,49.2,50.5,51.8,9.5,10.5,11.5,Banking
Lukoil,Russia,1991,66.4,68.4,69.4,6.1,7.1,8.1,Oil and gas
Novatek,Russia,1993,17.7,19.5,21.3,1.7,2.5,3.3,Oil and gas
Belaruskali,Belarus,1966,2.3,2.4,2.5,0.5,0.6,0.7,Mining
Naftogaz,Ukraine,1991,17.4,18.7,20,1.1,2.2,3.3,Oil and gas
PKN Orlen,Poland,1998,32.6,34.1,35.6,2.3,3.3,4.3,Oil and gas
KGHM,Poland,1961,10.6,11.2,11.8,1.1,1.6,2.1,Mining
Ukrtelecom,Ukraine,1992,2.3,2.4,2.5,0.2,0.3,0.4,Telecommunications
Valeo,Poland,1943,16.9,18,19.1,1.4,1.5,1.6,Automotive
MTS,Belarus,1992,5.5,5.7,5.9,0.9,1,1.1,Telecommunications
