Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry
Amazon,United States,1994,$232.9 billion,$280.5 billion,$386.1 billion,$21.3 billion,$21.3 billion,$21.3 billion,Retail
Apple,United States,1976,$265.6 billion,$260.2 billion,$274.5 billion,$59.5 billion,$55.2 billion,$111.4 billion,Technology
Google,United States,1998,$136.8 billion,$161.9 billion,$182.3 billion,$30.7 billion,$34.3 billion,$46.2 billion,Technology
Microsoft,United States,1975,$110.4 billion,$130.9 billion,$143.0 billion,$16.6 billion,$44.3 billion,$53.0 billion,Technology
Alibaba,China,1999,$39.9 billion,$56.1 billion,$70.2 billion,$12.9 billion,$14.9 billion,$11.9 billion,Retail
Facebook,United States,2004,$55.8 billion,$70.7 billion,$84.2 billion,$22.1 billion,$18.5 billion,$25.9 billion,Technology
Berkshire Hathaway,United States,1839,$242.1 billion,$254.2 billion,$245.5 billion,$24.1 billion,$29.1 billion,$29.9 billion,Investment
JP Morgan Chase,United States,2000,$110.2 billion,$106.6 billion,$111.5 billion,$32.0 billion,$36.4 billion,$31.2 billion,Banking
Exxon Mobil,United States,1870,$290.2 billion,$265.6 billion,$221.9 billion,$20.8 billion,$14.3 billion,$3.1 billion,Oil
Johnson & Johnson,United States,1886,$81.6 billion,$82.1 billion,$82.0 billion,$16.3 billion,$15.5 billion,$16.4 billion,Healthcare
Nestle,Switzerland,1866,$89.5 billion,$92.2 billion,$92.7 billion,$11.0 billion,$11.3 billion,$11.3 billion,Food
Procter & Gamble,United States,1890,$65.7 billion,$67.8 billion,$70.7 billion,$8.8 billion,$9.0 billion,$9.1 billion,Consumer goods
Toyota,Japan,1937,$275.6 billion,$265.2 billion,$274.3 billion,$17.7 billion,$16.5 billion,$19.5 billion,Automotive
General Electric,United States,1892,$121.6 billion,$121.2 billion,$115.2 billion,$4.2 billion,$4.4 billion,$4.7 billion,Conglomerate
Chevron,United States,1879,$134.6 billion,$134.3 billion,$121.5 billion,$14.8 billion,$11.9 billion,$5.6 billion,Oil
Coca-Cola,United States,1886,$31.9 billion,$32.2 billion,$37.2 billion,$7.2 billion,$7.6 billion,$10.2 billion,Beverages
McDonald's,United States,1940,$21.0 billion,$21.8 billion,$22.2 billion,$5.9 billion,$6.1 billion,$6.3 billion,Fast food
Wal-Mart,United States,1962,$500.3 billion,$514.4 billion,$524.4 billion,$9.9 billion,$10.4 billion,$13.6 billion,Retail
IBM,United States,1911,$79.1 billion,$77.1 billion,$73.6 billion,$8.2 billion,$8.7 billion,$11.6 billion,Technology
PepsiCo,United States,1898,$64.7 billion,$67.1 billion,$67.3 billion,$6.5 billion,$7.2 billion,$7.6 billion,Beverages
Unilever,Netherlands,1930,$51.3 billion,$51.2 billion,$50.7 billion,$5.1 billion,$5.4 billion,$5.7 billion,Consumer goods
Anheuser-Busch InBev,Belgium,1366,$54.6 billion,$54.6 billion,$52.3 billion,$9.7 billion,$10.2 billion,$9.1 billion,Beverages
Chevron,United States,1879,$134.6 billion,$134.3 billion,$121.5 billion,$14.8 billion,$11.9 billion,$5.6 billion,Oil
Royal Dutch Shell,Netherlands,1907,$388.4 billion,$388.6 billion,$353.7 billion,$23.9 billion,$21.3 billion,$11.3 billion,Oil
BP,United Kingdom,1909,$303.7 billion,$303.4 billion,$257.7 billion,$6.2 billion,$3.8 billion,$3.3 billion,Oil
Walgreens Boots Alliance,United States,1901,$131.5 billion,$131.8 billion,$134.6 billion,$6.2 billion,$6.7 billion,$7.7 billion,Healthcare
CVS Health,United States,1963,$178.5 billion,$184.6 billion,$256.2 billion,$6.7 billion,$7.9 billion,$10.5 billion,Healthcare
Intel,United States,1968,$70.8 billion,$72.0 billion,$77.9 billion,$21.0 billion,$21.1 billion,$25.8 billion,Technology
Johnson & Johnson,United States,1886,$81.6 billion,$82.1 billion,$82.0 billion,$16.3 billion,$15.5 billion,$16.4 billion,Healthcare
Goldman Sachs,United States,1869,$32.2 billion,$32.7 billion,$32.8 billion,$7.6 billion,$9.8 billion,$11.3 billion,Investment
Visa,United States,1970,$20.6 billion,$21.5 billion,$22.3 billion,$9.0 billion,$9.9 billion,$10.9 billion,Financial services
Merck,Germany,1668,$42.8 billion,$43.3 billion,$46.9 billion,$10.3 billion,$11.0 billion,$12.6 billion,Healthcare
Goldman Sachs,United States,1869,$32.2 billion,$32.7 billion,$32.8 billion,$7.6 billion,$9.8 billion,$11.3 billion,Investment
Verizon,United States,2000,$131.9 billion,$131.9 billion,$131.9 billion,$18.5 billion,$18.5 billion,$18.5 billion,Telecommunications
Anheuser-Busch InBev,Belgium,1366,$54.6 billion,$54.6 billion,$52.3 billion,$9.7 billion,$10.2 billion,$9.1 billion,Beverages
BMW,Germany,1916,$98.7 billion,$104.2 billion,$95.2 billion,$8.1 billion,$9.4 billion,$6.5 billion,Automotive
Porsche,Germany,1931,$25.5 billion,$27.4 billion,$26.5 billion,$3.9 billion,$5.3 billion,$3.9 billion,Automotive
Ferrari,Italy,1947,$3.5 billion,$3.6 billion,$3.7 billion,$309 million,$318 million,$299 million,Automotive
Lamborghini,Italy,1963,$1.5 billion,$1.6 billion,$1.5 billion,$38 million,$44 million,$36 million,Automotive
Audi,Germany,1909,$60.7 billion,$60.5 billion,$59.1 billion,$5.9 billion,$5.8 billion,$5.5 billion,Automotive
Inditex,Spain,1975,$27.4 billion,$28.8 billion,$30.0 billion,$4.6 billion,$5.3 billion,$6.0 billion,Retail
Total,France,1924,$178.6 billion,$174.3 billion,$169.6 billion,$9.7 billion,$8.8 billion,$7.3 billion,Oil
Sanofi,France,2004,$35.6 billion,$35.8 billion,$35.9 billion,$7.1 billion,$7.5 billion,$7.7 billion,Healthcare
L'Oreal,France,1909,$30.8 billion,$30.8 billion,$29.9 billion,$3.9 billion,$3.9 billion,$3.6 billion,Consumer goods
AXA,France,1816,$100.1 billion,$100.6 billion,$97.5 billion,$4.7 billion,$5.1 billion,$4.8 billion,Financial services
Voestalpine,Austria,1948,$10.5 billion,$10.8 billion,$10.9 billion,$617 million,$557 million,$522 million,Steel
Österreichische Post,Austria,1891,$7.1 billion,$7.2 billion,$7.3 billion,$378 million,$410 million,$441 million,Postal service
OMV,Austria,1956,$28.6 billion,$30.1 billion,$27.9 billion,$1.4 billion,$1.6 billion,$1.1 billion,Oil
Raiffeisen Bank International,Austria,1880,$5.6 billion,$5.9 billion,$6.1 billion,$429 million,$487 million,$503 million,Banking
Volkswagen,Germany,1937,$260.0 billion,$256.4 billion,$221.6 billion,$14.3 billion,$10.9 billion,$8.6 billion,Automotive
Daimler,Germany,1926,$174.3 billion,$182.2 billion,$163.1 billion,$9.9 billion,$9.9 billion,$7.2 billion,Automotive
Siemens,Germany,1847,$88.5 billion,$87.1 billion,$78.9 billion,$5.6 billion,$4.4 billion,$4.4 billion,Technology
Allianz,Germany,1890,$143.7 billion,$147.1 billion,$132.9 billion,$10.8 billion,$11.2 billion,$9.2 billion,Insurance
BASF,Germany,1865,$65.0 billion,$64.2 billion,$58.6 billion,$6.7 billion,$6.4 billion,$4.9 billion,Chemicals
Deutsche Bank,Germany,1870,$40.4 billion,$40.4 billion,$32.8 billion,$1.3 billion,$1.3 billion,$2.2 billion,Banking
EON,Germany,2000,$61.5 billion,$61.8 billion,$53.5 billion,$2.2 billion,$2.7 billion,$2.4 billion,Utilities
Linde,Germany,1879,$28.6 billion,$27.8 billion,$25.3 billion,$2.9 billion,$3.3 billion,$2.9 billion,Industrial gases
DHL,Germany,1969,$59.6 billion,$60.4 billion,$61.1 billion,$2.8 billion,$2.9 billion,$3.2 billion,Logistics
Deutsche Telekom,Germany,1995,$80.9 billion,$81.1 billion,$80.1 billion,$5.6 billion,$5.6 billion,$5.5 billion,Telecommunications
SAP,Germany,1972,$27.9 billion,$27.8 billion,$27.7 billion,$6.5 billion,$6.6 billion,$6.6 billion,Technology
Henkel,Germany,1876,$22.4 billion,$22.7 billion,$22.1 billion,$2.9 billion,$2.9 billion,$2.6 billion,Consumer goods
Bosch,Germany,1886,$78.3 billion,$78.3 billion,$77.5 billion,$6.4 billion,$6.4 billion,$6.4 billion,Technology
Continental,Germany,1871,$44.6 billion,$44.8 billion,$43.7 billion,$3.5 billion,$3.6 billion,$3.5 billion,Automotive
Deutsche Post,Germany,1995,$70.2 billion,$70.6 billion,$69.5 billion,$2.9 billion,$2.9 billion,$2.9 billion,Postal service
Bayer,Germany,1863,$35.5 billion,$35.2 billion,$33.8 billion,$4.9 billion,$4.8 billion,$4.4 billion,Healthcare
Metro,Germany,1964,$37.2 billion,$37.4 billion,$37.0 billion,$1.4 billion,$1.5 billion,$1.4 billion,Retail
Beiersdorf,Germany,1882,$7.4 billion,$7.4 billion,$7.4 billion,$894 million,$927 million,$902 million,Consumer goods
Adidas,Germany,1949,$21.2 billion,$21.3 billion,$22.1 billion,$1.1 billion,$1.2 billion,$1.2 billion,Footwear
